,geometry,index_right,name,type,elevation,tag,initial_quality,base_demand
114,POINT (35.02 2.05),77,247,Junction,5.486400000000001,,0.0,0.004440288022632
115,POINT (35.02 2.05),77,247,Junction,5.486400000000001,,0.0,0.004440288022632
116,POINT (35.02 1.81),78,249,Junction,5.486400000000001,,0.0,0.0
117,POINT (35.02 2.05),77,247,Junction,5.486400000000001,,0.0,0.004440288022632
118,POINT (34.15 1.1),79,251,Junction,9.144,,0.0,0.001524259145024
119,POINT (33.51 2.45),81,255,Junction,8.2296,,0.0,0.0025482130325960002
120,POINT (33.51 2.45),81,255,Junction,8.2296,,0.0,0.0025482130325960002
121,POINT (33.51 2.45),81,255,Junction,8.2296,,0.0,0.0025482130325960002
122,POINT (21.17 23.32),82,257,Junction,5.1816,,0.0,0.0
123,POINT (21.17 23.32),82,257,Junction,5.1816,,0.0,0.0
124,POINT (20.8 23.4),83,259,Junction,7.62,,0.0,0.0
125,POINT (20.79 21.45),84,261,Junction,0.0,,0.0,0.0
126,POINT (20.79 21.45),84,261,Junction,0.0,,0.0,0.0
127,POINT (20.32 21.57),85,263,Junction,0.0,,0.0,0.0
128,POINT (20.32 21.57),85,263,Junction,0.0,,0.0,0.0
129,POINT (25.39 13.6),86,265,Junction,0.0,,0.0,0.0
130,POINT (25.39 13.6),86,265,Junction,0.0,,0.0,0.0
131,POINT (23.38 12.95),87,267,Junction,6.4008,,0.0,0.0
132,POINT (23.38 12.95),87,267,Junction,6.4008,,0.0,0.0
133,POINT (25.03 12.14),88,269,Junction,0.0,,0.0,0.0
134,POINT (25.03 12.14),88,269,Junction,0.0,,0.0,0.0
135,POINT (25.97 11),89,271,Junction,1.8288000000000002,,0.0,0.0
136,POINT (25.97 11),89,271,Junction,1.8288000000000002,,0.0,0.0
137,POINT (29.16 7.38),90,273,Junction,2.4384,,0.0,0.0
138,POINT (29.16 7.38),90,273,Junction,2.4384,,0.0,0.0
139,POINT (31.07 8.289999999999999),91,275,Junction,3.048,,0.0,0.0
140,POINT (31.07 8.289999999999999),91,275,Junction,3.048,,0.0,0.0
